cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM40579,D-Mannose 6-phosphate,-1315.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])C([H])=O
metanetx.chemical:MNXM195,Hydrogen,99.1,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H][H]
metanetx.chemical:MNXM89582,Hydrogen sulfide,51.5,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]S[H]
metanetx.chemical:MNXM60,CO2(tot),-547.0,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OC(=O)O[H]
metanetx.chemical:MNXM334,Inosine,79.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H]
metanetx.chemical:MNXM400,Creatine,107.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H]
metanetx.chemical:MNXM653,Magnesium cation,-458.5,7.0,0.25,14.0,298.15,0,Alberty (2006),,[Mg+2]
metanetx.chemical:MNXM41271,D-Ribulose,-328.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM597,D-Xylulose,-338.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM89661,Isocitrate,-959.6,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H]
metanetx.chemical:MNXM417,"D-Fructose 1,6-bisphosphate",-2207.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
metanetx.chemical:MNXM441,Urate,-194.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]n1c(=O)c2c(n([H])c1=O)n([H])c(=O)n2[H]
metanetx.chemical:MNXM510,Xylitol,-295.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]
